interaction.id,article_url,content,time,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea (made the person nauseous),caused insomnia (the person wasn't able to sleep)
1e216d4078b8ac80e074b6aefd0b8ecc,http://twitter.com/cm_haynes/statuses/257849429846020097,Is That Pollen or Profit in the Air? http://t.co/9h6vZVsB\none off-brand claritin per day for me :),"Mon, 15 Oct 2012 14:24:29 +0000",yes,3,female,no,no,no,no,no,no,no,no,no,no
1e21bdba2f09a600e07449388a202dd0,http://twitter.com/Gladisyrv/statuses/260168978171838464,Best payment to buy online dovonex no prescription in the U.S.A. Order dovonex online _pharmacy_ ÂÅÃªÅ â€”Âç claritin online... http://t.co/CpKoSEaL,"Mon, 22 Oct 2012 00:01:32 +0000",yes,3,female,no,no,no,no,no,no,no,no,no,no
1e21e6045b94a680e074cc3af1e9826c,http://twitter.com/Gladisyrv/statuses/261330249990696960,"Generic For _Pharmacy_. order atridox online with cod, no rx needed for purchasing atridox. Buy cheap claritin fast... http://t.co/tVUe1VSu","Thu, 25 Oct 2012 04:56:01 +0000",yes,3,female,no,no,no,no,no,no,no,no,no,no
1e21ae673139a680e074c613e3dc017a,http://twitter.com/digifogcom/statuses/259727286184603648,buying Claritin without a prescription - buy Claritin without prescription: Image: http://t.co/nuq41cto... http://t.co/GX81OCnb,"Sat, 20 Oct 2012 18:46:25 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e218d1b517baf00e0740caa3005b42c,http://twitter.com/digifogcom/statuses/258767583216545793,order uk Claritin - Claritin and muscle cramps: Image: http://t.co/1XGzmlUf  (http://mysearcher... http://t.co/mAllZzkS,"Thu, 18 Oct 2012 03:12:54 +0000",yes,3,unknown,no,no,no,no,no,no,no,no,no,no
1e21b6d4b1b4a600e07474f299011628,http://twitter.com/ArTeRyLiFe/statuses/259970202702331905,Best Site To Buy Claritin At Tesco: Order Claritin =BUY ONLINE= Order Claritin (http://t.co/Cs50gkMI... http://t.co/SCeDlfFL,"Sun, 21 Oct 2012 10:51:40 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e21bf45f565a600e074cd8bfb7e5abe,http://twitter.com/ArTeRyLiFe/statuses/260213536763023360,"Acheter Loratadine bon marche, achat Loratadine 10 mg en france: Acheter Claritin === PHARMACIE === Achat Lorata... http://t.co/FgpnN7jP","Mon, 22 Oct 2012 02:58:36 +0000",non_english,,,,,,,,,,,,
1e21a5b0d2dfad00e074a6ced450fa86,http://twitter.com/SoulPunk5eva/statuses/259476172067442688,"Is there something you eat every day? â€™_â€™_â€™Ã‚ I'm not sure, But I find myself taking Claritin pretty much everyday bec... http://t.co/buUD4kf0","Sat, 20 Oct 2012 02:08:34 +0000",yes,4,male,no,no,no,no,no,no,no,no,no,no
1e20d7c7683eaf80e074d01364d7a778,http://twitter.com/boozeleprechaun/statuses/253541167206121472,Photo: New Mi Amor Reserva Beso from #Ashton #Cigars and generic Claritin for thatâ€™_â€™_Ã_Å_s how I roll. (Taken with... http://t.co/T9REzCfs,"Wed, 03 Oct 2012 17:04:59 +0000",non_english,,,,,,,,,,,,
1e21487a0799a800e0749cc50ac977c2,http://twitter.com/caraclyeminnich/statuses/256789458236604416,#claritin Buy claritin here http://t.co/JmzvVyBw,"Fri, 12 Oct 2012 16:12:32 +0000",yes,3,female,no,no,no,no,no,no,no,no,no,no
1e211b745aa1ad00e074d23de7a27a16,http://twitter.com/OwlsAreLove/statuses/255491782580785152,"spookclub: yeah i totally want the d. the claritin d, that is. itâ€™_â€™_Ã_Å_s allergy season. http://t.co/wpbAu338","Tue, 09 Oct 2012 02:16:02 +0000",yes,4,female,no,no,no,no,no,no,no,no,no,no
1e214b2c1a3aae00e074c799425486b2,http://twitter.com/freeinfotweets/statuses/256867152714403840,"CVS Coupon Deals 10/14-20: CheapÂÅÃªâ€™_Physicianâ€™_â€™_Ã_Å_s Formula, Claritin, Shave Cream, Almay, Dr. Pepper and More! New to ... http://t.co/kaZFfJJA","Fri, 12 Oct 2012 21:21:16 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e20f0a9cd79a580e07463ec074ce2ac,http://twitter.com/SMMobiles/statuses/254258408113459200,Best buy Claritin Buy Online For Cod http://t.co/jHmdatqA,"Fri, 05 Oct 2012 16:35:03 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e20f0600ab8af80e0749a6686570960,http://twitter.com/SMMobiles/statuses/254250105580953600,Best buy Claritin Without A Prescription Ontario http://t.co/nSNFbYHt,"Fri, 05 Oct 2012 16:02:03 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e20c6247795ab00e074e185e7666722,http://twitter.com/SMMobiles/statuses/253032829993226240,Buy Claritin Ups http://t.co/RizhQdYE,"Tue, 02 Oct 2012 07:25:02 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e20bdf61258ae80e074eee1ebb3aa26,http://twitter.com/SMMobiles/statuses/252797022984359936,Buying Claritin Generic Without Prescription http://t.co/2Apt45BZ,"Mon, 01 Oct 2012 15:48:01 +0000",yes,3,unknown,no,no,no,no,no,no,no,no,no,no
1e20be3fe82ca180e0748b20acbc8262,http://twitter.com/SMMobiles/statuses/252805334064844800,Purchase Claritin Generic Online http://t.co/PXnTh99B,"Mon, 01 Oct 2012 16:21:03 +0000",yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
1e20ff3d801ca380e074ca38ec9f80a4,http://twitter.com/thefunkylobster/statuses/254678559854047232,"spookclub: yeah i totally want the d. the claritin d, that is. itâ€™_â€™_Ã_Å_s allergy season. http://t.co/CX9Vjon6","Sat, 06 Oct 2012 20:24:35 +0000",yes,4,male,no,no,no,no,no,no,no,no,no,no
